relative_path,physical_path,runtime_alias_path,size_bytes,sha256
02_ModelComparison\dataset_summary_by_output.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\dataset_summary_by_output.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\dataset_summary_by_output.csv,747,fc3fe1125c19a019fbd7d9ebb46e45fa4baff50c71c4301d637ff2a78374061f
02_ModelComparison\dataset_summary_by_output.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\dataset_summary_by_output.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\dataset_summary_by_output.xlsx,5931,d3e9b06567a7c318480bca63b7cc31af5b114b059db0f84efd0bfbf0a7984b83
02_ModelComparison\final_refit_summary.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\final_refit_summary.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\final_refit_summary.csv,2178,b45e23db4efc087d5567a2321f0920d00952d320e3e8f65a4aa5692d8013afc1
02_ModelComparison\final_refit_summary.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\final_refit_summary.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\final_refit_summary.xlsx,6969,674dd3cd09d1dba4174b095924aad5ff5550d11a47712542e8d249531cedce5d
02_ModelComparison\final_summary_merged.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\final_summary_merged.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\final_summary_merged.csv,5246,3355df1342c08e967e406005e4057de97b59d488801d47ed7aede731021fea28
02_ModelComparison\final_summary_merged.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\final_summary_merged.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\final_summary_merged.xlsx,8498,7b78e7aa936f1e3fc396bb94c3926d0588c5b837d3b2ec814904774585290f72
02_ModelComparison\per_output\APS\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\APS\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\APS\method_comparison_fold_metrics.csv,65668,2802939306ed1ea17a0d7dd5eaa18b8918ba85b1859a224dc98c61f37243b30f
02_ModelComparison\per_output\APS\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\APS\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\APS\method_comparison_fold_metrics.xlsx,16990,ebaa55b6cdb52f07bc537ff9b50a6e8b33a96eb226ab4f765e31ac83be2d5f0b
02_ModelComparison\per_output\APS\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\APS\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\APS\method_comparison_fold_metrics_ok_only.csv,65668,2802939306ed1ea17a0d7dd5eaa18b8918ba85b1859a224dc98c61f37243b30f
02_ModelComparison\per_output\APS\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\APS\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\APS\method_comparison_fold_metrics_ok_only.xlsx,16990,ebaa55b6cdb52f07bc537ff9b50a6e8b33a96eb226ab4f765e31ac83be2d5f0b
02_ModelComparison\per_output\APS\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\APS\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\APS\method_comparison_summary.csv,4756,70af556e1f8f43bce998cd6aa521f3d6d2be700aeb3d07637b0303cee8275416
02_ModelComparison\per_output\APS\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\APS\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\APS\method_comparison_summary.xlsx,8725,ecef7059b607c7c0448875832c9a0104534aaffdebe6474ee304cc5dce8df6d0
02_ModelComparison\per_output\AS\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\AS\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\AS\method_comparison_fold_metrics.csv,67909,8baffde43db5dc24ad0eaa480fdfd6ec286af9188e2150c0411ac1d3f52473ef
02_ModelComparison\per_output\AS\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\AS\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\AS\method_comparison_fold_metrics.xlsx,17113,54047907af9ce79294d298d8e3c06bd8c9fcd38ba4c0bf5603c421418e833fc3
02_ModelComparison\per_output\AS\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\AS\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\AS\method_comparison_fold_metrics_ok_only.csv,67909,8baffde43db5dc24ad0eaa480fdfd6ec286af9188e2150c0411ac1d3f52473ef
02_ModelComparison\per_output\AS\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\AS\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\AS\method_comparison_fold_metrics_ok_only.xlsx,17113,54047907af9ce79294d298d8e3c06bd8c9fcd38ba4c0bf5603c421418e833fc3
02_ModelComparison\per_output\AS\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\AS\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\AS\method_comparison_summary.csv,4777,6d38778e9b049f8266259e903c8b5a4fb73a1d6cd59d3c2584a5f0804cce0e79
02_ModelComparison\per_output\AS\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\AS\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\AS\method_comparison_summary.xlsx,8759,1a8b9f12e3ba3ded2da6be7773bdb016201f678292ffb2c7892b0bc8c8b8c009
02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics.csv,70595,c1074c04cef6c88f7dc55557bfd617eb33b05d6e3f37024e46390a311a0a3586
02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics.xlsx,17314,1857c5f893355ec4382b3f124bcdfdf3b380e2a2f959db0993083fbb5133444a
02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics_ok_only.csv,70595,c1074c04cef6c88f7dc55557bfd617eb33b05d6e3f37024e46390a311a0a3586
02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Com. Strength\method_comparison_fold_metrics_ok_only.xlsx,17314,1857c5f893355ec4382b3f124bcdfdf3b380e2a2f959db0993083fbb5133444a
02_ModelComparison\per_output\Com. Strength\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Com. Strength\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Com. Strength\method_comparison_summary.csv,4985,57366c9d376cacdf971a50a331fb8baa7c8c01a408096298074c99e0991e7817
02_ModelComparison\per_output\Com. Strength\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Com. Strength\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Com. Strength\method_comparison_summary.xlsx,8834,67b35e392f9a1d044c3023044f468db24671c86987dacb9b749dba6f77c5b15f
02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics.csv,61538,36cdc3492563c0505bb7f84d149fc4a471ce0061168d02d487a2660b9162d190
02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics.xlsx,16813,5406d513de5c62a6b5b23a3a46a0a70640abea0ddca10b2fe3ac8263f4cd5934
02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics_ok_only.csv,61538,36cdc3492563c0505bb7f84d149fc4a471ce0061168d02d487a2660b9162d190
02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Densif. strength\method_comparison_fold_metrics_ok_only.xlsx,16813,5406d513de5c62a6b5b23a3a46a0a70640abea0ddca10b2fe3ac8263f4cd5934
02_ModelComparison\per_output\Densif. strength\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Densif. strength\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Densif. strength\method_comparison_summary.csv,4727,4f3b50ddd40fd506d4247751ab24e66c6c53d5a84a8b916f6816e4849241194e
02_ModelComparison\per_output\Densif. strength\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Densif. strength\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Densif. strength\method_comparison_summary.xlsx,8712,09c65b9054cd6b4c3b8e2c03825be3cbbe1822537495dc416d120ac11465746b
02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics.csv,68705,2776e3e438fe7d4bf55ce6cd43c935d189891e7bf0d0ba4e5607985dc697018c
02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics.xlsx,16805,cf8252086a1ab628560ae73d4585733b6715bbb61fad4aa87afb6ee0d4b6e2b1
02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics_ok_only.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics_ok_only.csv,68705,2776e3e438fe7d4bf55ce6cd43c935d189891e7bf0d0ba4e5607985dc697018c
02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics_ok_only.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Modulus\method_comparison_fold_metrics_ok_only.xlsx,16805,cf8252086a1ab628560ae73d4585733b6715bbb61fad4aa87afb6ee0d4b6e2b1
02_ModelComparison\per_output\Modulus\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Modulus\method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Modulus\method_comparison_summary.csv,5002,843fbabb9e113818968c70ef9a7b81af811f4dffb5a718a1ecd1922d5cf6dcb4
02_ModelComparison\per_output\Modulus\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\per_output\Modulus\method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\per_output\Modulus\method_comparison_summary.xlsx,8922,b0efd65b4cd94dffcfc693839be20c588c13c54216951d03d5d4b693ce909269
