candidate_id,unified_block_id,unified_block_member_count,unified_edge_degree,representative_selected,block_policy
LIT-X001::solid_chord_x_count,U096-BLK-001,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_y_q10_mm,U096-BLK-072,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_y_q50_mm,U096-BLK-073,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_y_q90_mm,U096-BLK-074,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_y_spanning_line_fraction,U096-BLK-075,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_z_count,U096-BLK-076,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_z_mean_mm,U096-BLK-077,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_z_population_std_mm,U096-BLK-078,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_z_q10_mm,U096-BLK-079,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_z_q50_mm,U096-BLK-080,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_z_q90_mm,U096-BLK-081,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_z_spanning_line_fraction,U096-BLK-082,1,0,False,standalone technical candidate; no selection
LIT-X017::beta0_count,U096-BLK-083,2,1,False,x-only graph block; no representative
LIT-X017::beta0_density,U096-BLK-083,2,1,False,x-only graph block; no representative
LIT-X023::axis_power_fraction_x,U096-BLK-084,1,0,False,standalone technical candidate; no selection
LIT-X023::axis_power_fraction_y,U096-BLK-085,1,0,False,standalone technical candidate; no selection
LIT-X023::axis_power_fraction_z,U111-BLK-001,4,3,False,x-only graph block; no representative
LIT-X023::peak_wavelength_x,U096-BLK-087,1,0,False,standalone technical candidate; no selection
LIT-X023::peak_wavelength_y,U096-BLK-088,1,0,False,standalone technical candidate; no selection
LIT-X023::peak_wavelength_z,U096-BLK-089,1,0,False,standalone technical candidate; no selection
LIT-X019::solid_void_chord_q50_geomean_ratio,U101-BLK-090,1,0,False,standalone technical candidate; no selection
LIT-X019::solid_void_chord_x_q50_ratio,U101-BLK-091,1,0,False,standalone technical candidate; no selection
LIT-X019::solid_void_chord_y_q50_ratio,U101-BLK-092,1,0,False,standalone technical candidate; no selection
LIT-X019::solid_void_chord_z_q50_ratio,U101-BLK-093,1,0,False,standalone technical candidate; no selection
LIT-X024::ect_abs_auc_direction_mean_per_mm3,U096-BLK-044,3,2,False,x-only graph block; no representative
LIT-X024::ect_total_variation_direction_mean_per_mm3,U101-BLK-094,1,0,False,standalone technical candidate; no selection
RAW-X034::slice_component_count_iqr,U119-BLK-001,2,1,False,x-only graph block; no representative
RAW-X034::slice_component_count_lag1_autocorr,U103-BLK-098,1,0,False,standalone technical candidate; no selection
RAW-X034::slice_component_count_mad,U119-BLK-002,2,1,False,x-only graph block; no representative
RAW-X034::slice_component_count_mean,U119-BLK-003,4,3,False,x-only graph block; no representative
RAW-X034::slice_component_count_normalized_total_variation,U135-BLK-001,4,3,False,x-only graph block; no representative
RAW-X034::slice_component_count_population_std,U119-BLK-004,3,2,False,x-only graph block; no representative
RAW-X034::slice_component_count_q10,U119-BLK-005,3,2,False,x-only graph block; no representative
RAW-X034::slice_component_count_q50,U103-BLK-096,2,1,False,x-only graph block; no representative
RAW-X034::slice_component_count_q90,U149-BLK-001,9,5,False,x-only graph block; no representative
RAW-X034::slice_material_area_iqr,U103-BLK-104,1,0,False,standalone technical candidate; no selection
RAW-X034::slice_material_area_lag1_autocorr,U103-BLK-105,1,0,False,standalone technical candidate; no selection
RAW-X034::slice_material_area_mad,U105-BLK-001,2,1,False,x-only graph block; no representative
RAW-X034::slice_material_area_mean,U103-BLK-107,1,0,False,standalone technical candidate; no selection
RAW-X034::slice_material_area_normalized_total_variation,U133-BLK-003,2,1,False,x-only graph block; no representative
RAW-X034::slice_material_area_population_std,U133-BLK-004,4,3,False,x-only graph block; no representative
RAW-X034::slice_material_area_q10,U105-BLK-003,2,1,False,x-only graph block; no representative
RAW-X034::slice_material_area_q50,U105-BLK-004,2,1,False,x-only graph block; no representative
RAW-X034::slice_material_area_q90,U105-BLK-005,2,1,False,x-only graph block; no representative
RAW-X035::overlay_component_area_iqr,U103-BLK-113,1,0,False,standalone technical candidate; no selection
RAW-X035::overlay_component_area_mad,U103-BLK-114,1,0,False,standalone technical candidate; no selection
RAW-X035::overlay_component_area_mean,U103-BLK-115,1,0,False,standalone technical candidate; no selection
RAW-X035::overlay_component_area_population_std,U103-BLK-116,1,0,False,standalone technical candidate; no selection
RAW-X035::overlay_component_area_q10,U103-BLK-117,1,0,False,standalone technical candidate; no selection
RAW-X035::overlay_component_area_q50,U103-BLK-118,1,0,False,standalone technical candidate; no selection
RAW-X035::overlay_component_area_q90,U103-BLK-119,1,0,False,standalone technical candidate; no selection
RAW-X035::overlay_pair_component_count_mean,U119-BLK-003,4,3,False,x-only graph block; no representative
RAW-X035::overlay_pair_component_count_q50,U103-BLK-096,2,1,False,x-only graph block; no representative
RAW-X035::overlay_pair_total_area_lag1_autocorr,U107-BLK-001,2,1,False,x-only graph block; no representative
RAW-X035::overlay_pair_total_area_normalized_total_variation,U107-BLK-002,2,1,False,x-only graph block; no representative
RAW-X036::overlay_blue_pixel_count_iqr,U105-BLK-006,2,1,False,x-only graph block; no representative
RAW-X036::overlay_blue_pixel_count_mad,U105-BLK-007,2,1,False,x-only graph block; no representative
RAW-X036::overlay_blue_pixel_count_mean,U105-BLK-008,2,1,False,x-only graph block; no representative
RAW-X036::overlay_blue_pixel_count_population_std,U123-BLK-001,3,1,False,x-only graph block; no representative
RAW-X036::overlay_blue_pixel_count_q10,U105-BLK-010,2,1,False,x-only graph block; no representative
RAW-X036::overlay_blue_pixel_count_q50,U105-BLK-011,2,1,False,x-only graph block; no representative
RAW-X036::overlay_blue_pixel_count_q90,U105-BLK-012,2,1,False,x-only graph block; no representative
RAW-X036::overlay_purple_pixel_count_iqr,U105-BLK-013,1,0,False,standalone technical candidate; no selection
RAW-X036::overlay_purple_pixel_count_mad,U105-BLK-001,2,1,False,x-only graph block; no representative
RAW-X036::overlay_purple_pixel_count_mean,U105-BLK-014,1,0,False,standalone technical candidate; no selection
RAW-X036::overlay_purple_pixel_count_population_std,U133-BLK-004,4,3,False,x-only graph block; no representative
RAW-X036::overlay_purple_pixel_count_q10,U105-BLK-003,2,1,False,x-only graph block; no representative
RAW-X036::overlay_purple_pixel_count_q50,U105-BLK-004,2,1,False,x-only graph block; no representative
RAW-X036::overlay_purple_pixel_count_q90,U105-BLK-005,2,1,False,x-only graph block; no representative
RAW-X036::overlay_red_pixel_count_iqr,U105-BLK-006,2,1,False,x-only graph block; no representative
RAW-X036::overlay_red_pixel_count_mad,U105-BLK-007,2,1,False,x-only graph block; no representative
RAW-X036::overlay_red_pixel_count_mean,U105-BLK-008,2,1,False,x-only graph block; no representative
RAW-X036::overlay_red_pixel_count_population_std,U123-BLK-001,3,1,False,x-only graph block; no representative
RAW-X036::overlay_red_pixel_count_q10,U105-BLK-010,2,1,False,x-only graph block; no representative
RAW-X036::overlay_red_pixel_count_q50,U105-BLK-011,2,1,False,x-only graph block; no representative
RAW-X036::overlay_red_pixel_count_q90,U105-BLK-012,2,1,False,x-only graph block; no representative
RAW-X036::overlay_union_pixel_count_iqr,U105-BLK-016,1,0,False,standalone technical candidate; no selection
RAW-X036::overlay_union_pixel_count_mean,U105-BLK-017,1,0,False,standalone technical candidate; no selection
RAW-X036::overlay_union_pixel_count_population_std,U133-BLK-004,4,3,False,x-only graph block; no representative
RAW-X036::overlay_union_pixel_count_q50,U105-BLK-018,1,0,False,standalone technical candidate; no selection
RAW-X037::overlay_blue_fraction_mean,U105-BLK-019,3,2,False,x-only graph block; no representative
RAW-X037::overlay_purple_fraction_mean,U105-BLK-019,3,2,False,x-only graph block; no representative
RAW-X037::overlay_red_fraction_mean,U105-BLK-019,3,2,False,x-only graph block; no representative
RAW-X038::slice_component_count_excess_kurtosis,U135-BLK-003,4,3,False,x-only graph block; no representative
RAW-X038::slice_component_count_moment_skewness,U135-BLK-004,4,3,False,x-only graph block; no representative
RAW-X038::slice_component_count_peak_to_mean,U107-BLK-005,2,1,False,x-only graph block; no representative
RAW-X038::slice_component_count_range_over_mean,U107-BLK-005,2,1,False,x-only graph block; no representative
RAW-X038::slice_material_area_excess_kurtosis,U133-BLK-007,2,1,False,x-only graph block; no representative
RAW-X038::slice_material_area_moment_skewness,U133-BLK-008,2,1,False,x-only graph block; no representative
RAW-X038::slice_material_area_peak_to_mean,U107-BLK-008,2,1,False,x-only graph block; no representative
RAW-X038::slice_material_area_range_over_mean,U107-BLK-008,2,1,False,x-only graph block; no representative
RAW-X039::overlay_blue_pixel_count_lag1_autocorr,U107-BLK-009,1,0,False,standalone technical candidate; no selection
RAW-X039::overlay_blue_pixel_count_normalized_total_variation,U107-BLK-010,2,1,False,x-only graph block; no representative
RAW-X039::overlay_purple_pixel_count_lag1_autocorr,U107-BLK-011,1,0,False,standalone technical candidate; no selection
RAW-X039::overlay_purple_pixel_count_normalized_total_variation,U107-BLK-012,1,0,False,standalone technical candidate; no selection
RAW-X039::overlay_red_pixel_count_lag1_autocorr,U107-BLK-013,1,0,False,standalone technical candidate; no selection
RAW-X039::overlay_red_pixel_count_normalized_total_variation,U107-BLK-010,2,1,False,x-only graph block; no representative
RAW-X039::overlay_union_pixel_count_lag1_autocorr,U107-BLK-001,2,1,False,x-only graph block; no representative
RAW-X039::overlay_union_pixel_count_normalized_total_variation,U107-BLK-002,2,1,False,x-only graph block; no representative
RAW-X040::overlay_blue_fraction_lag1_autocorr,U107-BLK-014,1,0,False,standalone technical candidate; no selection
RAW-X040::overlay_blue_fraction_population_std,U107-BLK-015,1,0,False,standalone technical candidate; no selection
RAW-X040::overlay_purple_fraction_lag1_autocorr,U107-BLK-016,1,0,False,standalone technical candidate; no selection
RAW-X040::overlay_purple_fraction_population_std,U147-BLK-001,3,2,False,x-only graph block; no representative
RAW-X040::overlay_red_fraction_lag1_autocorr,U107-BLK-018,1,0,False,standalone technical candidate; no selection
RAW-X040::overlay_red_fraction_population_std,U107-BLK-019,1,0,False,standalone technical candidate; no selection
RAW-X041::slice_component_count_normalized_axial_centroid,U109-BLK-001,1,0,False,standalone technical candidate; no selection
RAW-X041::slice_component_count_normalized_axial_spread,U109-BLK-002,1,0,False,standalone technical candidate; no selection
RAW-X041::slice_material_area_normalized_axial_centroid,U109-BLK-003,1,0,False,standalone technical candidate; no selection
RAW-X041::slice_material_area_normalized_axial_spread,U109-BLK-004,1,0,False,standalone technical candidate; no selection
RAW-X042::overlay_blue_pixel_count_normalized_axial_centroid,U109-BLK-005,1,0,False,standalone technical candidate; no selection
RAW-X042::overlay_blue_pixel_count_normalized_axial_spread,U109-BLK-006,1,0,False,standalone technical candidate; no selection
RAW-X042::overlay_purple_pixel_count_normalized_axial_centroid,U109-BLK-007,1,0,False,standalone technical candidate; no selection
RAW-X042::overlay_purple_pixel_count_normalized_axial_spread,U109-BLK-008,1,0,False,standalone technical candidate; no selection
RAW-X042::overlay_red_pixel_count_normalized_axial_centroid,U109-BLK-009,1,0,False,standalone technical candidate; no selection
RAW-X042::overlay_red_pixel_count_normalized_axial_spread,U109-BLK-010,1,0,False,standalone technical candidate; no selection
RAW-X042::overlay_union_pixel_count_normalized_axial_centroid,U109-BLK-011,1,0,False,standalone technical candidate; no selection
RAW-X042::overlay_union_pixel_count_normalized_axial_spread,U109-BLK-012,1,0,False,standalone technical candidate; no selection
RAW-X043::overlay_blue_fraction_normalized_axial_centroid,U109-BLK-013,1,0,False,standalone technical candidate; no selection
RAW-X043::overlay_blue_fraction_normalized_axial_spread,U109-BLK-014,1,0,False,standalone technical candidate; no selection
RAW-X043::overlay_purple_fraction_normalized_axial_centroid,U109-BLK-015,1,0,False,standalone technical candidate; no selection
RAW-X043::overlay_purple_fraction_normalized_axial_spread,U109-BLK-016,1,0,False,standalone technical candidate; no selection
RAW-X043::overlay_red_fraction_normalized_axial_centroid,U109-BLK-017,1,0,False,standalone technical candidate; no selection
RAW-X043::overlay_red_fraction_normalized_axial_spread,U109-BLK-018,1,0,False,standalone technical candidate; no selection
RAW-X044::overlay_blue_pixel_count_reflection_asymmetry,U109-BLK-019,2,1,False,x-only graph block; no representative
RAW-X044::overlay_purple_pixel_count_reflection_asymmetry,U109-BLK-020,1,0,False,standalone technical candidate; no selection
RAW-X044::overlay_red_pixel_count_reflection_asymmetry,U109-BLK-019,2,1,False,x-only graph block; no representative
RAW-X044::overlay_union_pixel_count_reflection_asymmetry,U109-BLK-021,1,0,False,standalone technical candidate; no selection
RAW-X044::slice_component_count_reflection_asymmetry,U109-BLK-022,1,0,False,standalone technical candidate; no selection
RAW-X044::slice_material_area_reflection_asymmetry,U109-BLK-023,1,0,False,standalone technical candidate; no selection
RAW-X045::slice_component_count_axial_position_excess_kurtosis,U111-BLK-002,1,0,False,standalone technical candidate; no selection
RAW-X045::slice_component_count_axial_position_skewness,U111-BLK-003,1,0,False,standalone technical candidate; no selection
RAW-X045::slice_component_count_center_edge_mass_contrast,U111-BLK-004,1,0,False,standalone technical candidate; no selection
RAW-X045::slice_component_count_normalized_profile_entropy,U111-BLK-005,1,0,False,standalone technical candidate; no selection
RAW-X045::slice_material_area_axial_position_excess_kurtosis,U111-BLK-006,3,2,False,x-only graph block; no representative
RAW-X045::slice_material_area_axial_position_skewness,U111-BLK-007,1,0,False,standalone technical candidate; no selection
RAW-X045::slice_material_area_center_edge_mass_contrast,U111-BLK-008,1,0,False,standalone technical candidate; no selection
RAW-X045::slice_material_area_normalized_profile_entropy,U111-BLK-001,4,3,False,x-only graph block; no representative
RAW-X046::overlay_blue_pixel_count_axial_position_excess_kurtosis,U111-BLK-009,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_blue_pixel_count_axial_position_skewness,U111-BLK-010,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_blue_pixel_count_center_edge_mass_contrast,U111-BLK-011,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_blue_pixel_count_normalized_profile_entropy,U111-BLK-012,2,1,False,x-only graph block; no representative
RAW-X046::overlay_purple_pixel_count_axial_position_excess_kurtosis,U111-BLK-006,3,2,False,x-only graph block; no representative
RAW-X046::overlay_purple_pixel_count_axial_position_skewness,U111-BLK-013,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_purple_pixel_count_center_edge_mass_contrast,U111-BLK-014,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_purple_pixel_count_normalized_profile_entropy,U111-BLK-001,4,3,False,x-only graph block; no representative
RAW-X046::overlay_red_pixel_count_axial_position_excess_kurtosis,U111-BLK-015,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_red_pixel_count_axial_position_skewness,U111-BLK-016,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_red_pixel_count_center_edge_mass_contrast,U111-BLK-017,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_red_pixel_count_normalized_profile_entropy,U111-BLK-012,2,1,False,x-only graph block; no representative
RAW-X046::overlay_union_pixel_count_axial_position_excess_kurtosis,U111-BLK-006,3,2,False,x-only graph block; no representative
RAW-X046::overlay_union_pixel_count_axial_position_skewness,U111-BLK-018,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_union_pixel_count_center_edge_mass_contrast,U111-BLK-019,1,0,False,standalone technical candidate; no selection
RAW-X046::overlay_union_pixel_count_normalized_profile_entropy,U111-BLK-001,4,3,False,x-only graph block; no representative
RAW-X047::overlay_blue_pixel_count_weighted_axial_q10_position,U113-BLK-001,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_blue_pixel_count_weighted_axial_q25_position,U113-BLK-002,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_blue_pixel_count_weighted_axial_q75_position,U113-BLK-003,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_blue_pixel_count_weighted_axial_q90_position,U113-BLK-004,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_purple_pixel_count_weighted_axial_q10_position,U113-BLK-005,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_purple_pixel_count_weighted_axial_q25_position,U113-BLK-006,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_purple_pixel_count_weighted_axial_q75_position,U113-BLK-007,2,1,False,x-only graph block; no representative
RAW-X047::overlay_purple_pixel_count_weighted_axial_q90_position,U113-BLK-008,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_red_pixel_count_weighted_axial_q10_position,U113-BLK-009,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_red_pixel_count_weighted_axial_q25_position,U113-BLK-010,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_red_pixel_count_weighted_axial_q75_position,U113-BLK-011,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_red_pixel_count_weighted_axial_q90_position,U113-BLK-012,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_union_pixel_count_weighted_axial_q10_position,U113-BLK-013,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_union_pixel_count_weighted_axial_q25_position,U113-BLK-014,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_union_pixel_count_weighted_axial_q75_position,U113-BLK-015,1,0,False,standalone technical candidate; no selection
RAW-X047::overlay_union_pixel_count_weighted_axial_q90_position,U113-BLK-016,1,0,False,standalone technical candidate; no selection
RAW-X047::slice_component_count_weighted_axial_q10_position,U113-BLK-017,1,0,False,standalone technical candidate; no selection
RAW-X047::slice_component_count_weighted_axial_q25_position,U113-BLK-018,1,0,False,standalone technical candidate; no selection
RAW-X047::slice_component_count_weighted_axial_q75_position,U113-BLK-019,1,0,False,standalone technical candidate; no selection
RAW-X047::slice_component_count_weighted_axial_q90_position,U113-BLK-020,1,0,False,standalone technical candidate; no selection
RAW-X047::slice_material_area_weighted_axial_q10_position,U113-BLK-021,1,0,False,standalone technical candidate; no selection
RAW-X047::slice_material_area_weighted_axial_q25_position,U113-BLK-022,1,0,False,standalone technical candidate; no selection
RAW-X047::slice_material_area_weighted_axial_q75_position,U113-BLK-007,2,1,False,x-only graph block; no representative
RAW-X047::slice_material_area_weighted_axial_q90_position,U113-BLK-023,1,0,False,standalone technical candidate; no selection
RAW-X048::component_area_cv,U139-BLK-001,3,2,False,x-only graph block; no representative
RAW-X048::component_area_gini,U115-BLK-002,1,0,False,standalone technical candidate; no selection
RAW-X048::component_area_hhi,U115-BLK-003,1,0,False,standalone technical candidate; no selection
RAW-X048::component_area_normalized_entropy,U115-BLK-004,1,0,False,standalone technical candidate; no selection
RAW-X048::component_area_q95_mm2,U139-BLK-002,3,2,False,x-only graph block; no representative
RAW-X048::component_area_q99_mm2,U115-BLK-006,1,0,False,standalone technical candidate; no selection
RAW-X048::pair_largest_component_share_iqr,U121-BLK-002,2,1,False,x-only graph block; no representative
RAW-X048::pair_largest_component_share_mean,U115-BLK-008,1,0,False,standalone technical candidate; no selection
RAW-X048::pair_largest_component_share_population_std,U115-BLK-009,1,0,False,standalone technical candidate; no selection
RAW-X048::pair_largest_component_share_q10,U121-BLK-003,2,1,False,x-only graph block; no representative
RAW-X048::pair_largest_component_share_q50,U115-BLK-011,1,0,False,standalone technical candidate; no selection
RAW-X048::pair_largest_component_share_q90,U115-BLK-012,1,0,False,standalone technical candidate; no selection
RAW-X049::filter_removed_component_delta_mean,U117-BLK-005,1,0,False,standalone technical candidate; no selection
RAW-X049::filter_removed_component_delta_population_std,U117-BLK-006,1,0,False,standalone technical candidate; no selection
