evidence_id,category,path,sha256,record_count_or_fact,status,establishes,does_not_establish
E015,contract,experiments/lab_001_xy_connection_20260626/factories/CINT-08/outputs/CINT-08_execution_summary_20260719.json,7d0b54532687115f8bb7dfca21a8401b417c6f53d12cf2e85d960c31f91da97e,models_fitted=0 predictions=0,confirmed,explicit no-execution state,predictive result
E016,registry,experiments/lab_001_xy_connection_20260626/reports/tables/CINT-08_training_source_registry_20260719.csv,1ea3c986feeba9a4dcc2fa530056311023cda68b25d5851ef094350c28e77445,9 rows,confirmed,source/hash/method registry,parity
E017,registry,experiments/lab_001_xy_connection_20260626/reports/tables/CINT-08_training_method_plugin_registry_20260719.csv,5be20fb8a8575443359eb0840727e4d2ba9d128133b3f50c42e9ce5cc10d7c21,5 rows,confirmed,method roles and policy,common benchmark
E018,gate,experiments/lab_001_xy_connection_20260626/reports/tables/CINT-08_external_training_replay_gates_20260719.csv,568ff2f1d252ca94e4aa6529e11c4eda1c14dff8011b6bc3e5e10fbf248f0a4c,5 open gates,confirmed,known replay/modeling gaps,completion
E019,module,URP4-1_DELIVERABLE/urp4/training/v0_1/source_audit.py,92984e1a38db136dad6f99de7dac7607f6ec995ebfc2fcfcf1a7d173497eef39,138 lines,confirmed,read-only source audit implementation,replay
E020,module,URP4-1_DELIVERABLE/urp4/training/v0_1/policy.py,d7b6f9f40f5b1648616b57cc02103f5868bd3fadb3b46cb1371ed4a34e35e41c,251 lines,confirmed,grouped and fail-closed policy,model quality
E021,module,URP4-1_DELIVERABLE/urp4/training/p1_adapter_v0_1/registry.py,6cd60a8b98dce8febefa39b35ed2e41cdcc4a4e393c214f2324347758312faa2,4 representative recipes,confirmed,source-mapped reduced adapter definitions,source parity
E022,module,URP4-1_DELIVERABLE/urp4/training/p1_adapter_v0_1/adapters.py,73e29758afc8b4324056c68708bf6ac255cbb7a62e4a414fdea81fcb8eabe1e4,193 lines,confirmed,no-fit adapter compilation,fit result
E023,module,URP4-1_DELIVERABLE/urp4/training/p1_exec_layer_v0_1/builders.py,dd7d7effa549f3f7b32c1d23d70c5f8322f4e1798c1041daa69c105259de1080,4 guarded builders,confirmed,executable representative graph constructors,notebook parity
E024,benchmark,experiments/lab_001_xy_connection_20260626/results/PRM071_MERGE_PACKET.md,1f78db5690e044bb9aa7ff3dfab6fcb6582d88296ce40620e85c0a1bf8338493,54 rows 4 methods 216 OOF,confirmed,partial common grouped benchmark,all-nine benchmark
E025,prediction_ledger,experiments/lab_001_xy_connection_20260626/factories/TOUR-C001/analysis_factory/reports/PRM071_FS4_P1_oof_predictions.csv,e860139f54ea77fc02cf0405f6e6cb9d2951134a37ed5b4c456b7ef69a769cee,216 rows,confirmed,actual OOF values,source notebook replay
E026,metric_ledger,experiments/lab_001_xy_connection_20260626/factories/TOUR-C001/analysis_factory/reports/PRM071_FS4_P1_metrics.csv,997b9011b7e63f8de4c0c5900b25d5e3ccea184cac2e0bd746d45749e902f0b5,24 rows,confirmed,actual common-contract metrics,method-5 comparison
E027,qa,experiments/lab_001_xy_connection_20260626/factories/TOUR-C001/analysis_factory/reports/PRM071_FS4_P1_independent_QA.csv,905eb57be0b4a137a9e30f7260d9570dae6faa8cb8a18bb7239afb5cc4b2dd26,24/24,confirmed,independent PRM071 replay checks,scientific success
E028,grouped_baseline,experiments/lab_001_xy_connection_20260626/reports/tables/R09-TRAIN-004_gm_outer_oof_predictions_20260713.csv,e16997d13791920c03025ed77bf538ffcb071794a82178e231081acfab57b82a,165 rows,confirmed,GM held-family baseline ledger,all-target generalization
E029,sensitivity,experiments/lab_001_xy_connection_20260626/reports/tables/R09-TRAIN-005_gm_aq_outer_oof_predictions_20260713.csv,5049b2a91bc79cc69e1a98527d7eb9e5177ed926be1cf65b8e303bb932601db4,165 rows,confirmed,AQ sensitivity ledger,feature promotion
E030,nested_selection,experiments/lab_001_xy_connection_20260626/reports/tables/R09-TRAIN-007_outer_oof_predictions_20260713.csv,f2980419d3917205f8bf9312f34dde332c54c73fdcd2bb83be0d7c5bee240a31,165 rows,confirmed,nested one-feature sensitivity,deployable model
E031,new_data_intake,experiments/lab_001_xy_connection_20260626/data/processed/COMP-FACTORY-001/COMP-FACTORY-001-AI-LATTICE-20260731-142459/MANIFEST.json,8e1c248c69290692381883823bb2e84f0675cfcca3fc9fa76f302d5cdc7a4eda,149 eligible joins,confirmed,AI Lattice intake/crosswalk,notebook replay
E032,new_data_qa,experiments/lab_001_xy_connection_20260626/data/processed/COMP-FACTORY-001/COMP-FACTORY-001-AI-LATTICE-20260731-142459/INDEPENDENT_QA_SUMMARY.json,83b56004467997dc01055b451327f93a467be07282904b2c9371c7910c264037,22/22,confirmed,intake QA,model validity
E033,new_data_benchmark,experiments/lab_001_xy_connection_20260626/data/processed/COMP-FACTORY-002/COMP-FACTORY-002-AI-LATTICE-PILOT-20260731-144749/oof_predictions.csv,95c03a6548a7f2a38fa647adbec244730ab8d301b3035bd7b2050cec3ab8062f,9536 rows,confirmed,source-block OOF technical pilot,unconfounded generalization
E034,new_data_metrics,experiments/lab_001_xy_connection_20260626/data/processed/COMP-FACTORY-002/COMP-FACTORY-002-AI-LATTICE-PILOT-20260731-144749/metrics.csv,45ad3d95050eafc0467613faf68f46f236788adcafab588b7e1e1671b6582389,256 rows,confirmed,pilot metrics,feature or method promotion
E035,new_data_qa,experiments/lab_001_xy_connection_20260626/data/processed/COMP-FACTORY-002/COMP-FACTORY-002-AI-LATTICE-PILOT-20260731-144749/INDEPENDENT_QA_SUMMARY.json,b3514e59f747834d77c325b77e96c9443ed739f463a30705562b9c74b0c9c68b,36/36,confirmed,metric reproduction,scientific model success
E036,hq,URP4-1_DELIVERABLE/URP4_1_HQ.ipynb,6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40,13 cells,confirmed,HQ executable shell and readiness outputs,Training fit integration
E037,hq_blueprint,URP4-1_DELIVERABLE/URP4_1_HQ_BLUEPRINT_v0_2.ipynb,1abd6678f3a25548610eea0bc212dd0d1ac2ac1a15105221cf460f594437cc79,22 cells,confirmed,planned Training stage visibility,execution
E038,hq_policy,URP4-1_DELIVERABLE/config/HQ_BLUEPRINT_V0_2_STAGE_REGISTRY.json,3ee5dc19265a6aa1cc572f2628d9f8710684192b05e5d348bd8fa5ab76e1661f,Training stage LOCKED,confirmed,HQ readiness and lock state,fit
E039,hq_controller,URP4-1_DELIVERABLE/urp4/hq/v0_1/controller.py,a76e1ec4bd8ffc8733e1ade1201d3f92104664d26c07221d3068afbe0b099a12,explicit Training rejection,confirmed,fail-closed controller behavior,Training integration
E040,parallel_queue,experiments/lab_001_xy_connection_20260626/results/CURRENT_PARALLEL_QUEUE_20260731.md,57803175312fadf90f50CBD014D7C5F1E718045C1936AEB8B43EDBE911F567E7,C1 plus compression queue,confirmed,parallel ownership and noninterference,Training completion

