work_id,track,purpose,position_in_full_pipeline,planned_scope,last_completed_run,currently_active_run,execution_status,calculation_scope,qa_status,scientific_status,notebook_integration_status,regression_status,submission_status,source_files,result_files,config_and_environment,evidence_hash,confirmed_conclusion,claim_boundary,remaining_problem,next_gate,owner_session,last_verified_at,primary_evidence_path,release_status
IMSTL-003_L28_WINDING_DOE,imported_stl_slicer,Audited result root: IMSTL-003_L28_WINDING_DOE,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,IMSTL-003-20260727-002,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,experiments/lab_001_xy_connection_20260626/results/IMSTL-003_L28_WINDING_DOE/IMSTL-003-20260727-002/INDEPENDENT_QA.json,see manifest/config evidence if present,399076228190a0ae38dcd3d9b908907e4a2ef20ce0bde7505afac94b4f39dfc8,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/IMSTL-003_L28_WINDING_DOE/IMSTL-003-20260727-002/INDEPENDENT_QA.json,not_merged_or_no_packet_found
IMSTL-004_L28_FULL801,imported_stl_slicer,Audited result root: IMSTL-004_L28_FULL801,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,IMSTL-004-20260728-001,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,experiments/lab_001_xy_connection_20260626/results/IMSTL-004_L28_FULL801/IMSTL-004-20260728-001/INDEPENDENT_QA.json,see manifest/config evidence if present,c7fea0c374811135d0c78298c8c85787272e09c289bb704e8922f857bfecd0b4,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/IMSTL-004_L28_FULL801/IMSTL-004-20260728-001/INDEPENDENT_QA.json,not_merged_or_no_packet_found
IMSTL-005_NB_DEV_INTEGRATION,imported_stl_slicer,Audited result root: IMSTL-005_NB_DEV_INTEGRATION,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,IMSTL-005-20260728-002,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,experiments/lab_001_xy_connection_20260626/results/IMSTL-005_NB_DEV_INTEGRATION/IMSTL-005-20260728-002/INDEPENDENT_QA.json,see manifest/config evidence if present,446060662b024a374bd4457c991059ba6d2fc535751c7e208f598f9b34be5956,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/IMSTL-005_NB_DEV_INTEGRATION/IMSTL-005-20260728-002/INDEPENDENT_QA.json,not_merged_or_no_packet_found
IMSTL-006_SMALL_GENERALIZATION,imported_stl_slicer,Audited result root: IMSTL-006_SMALL_GENERALIZATION,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,IMSTL-006-20260728-002,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,experiments/lab_001_xy_connection_20260626/results/IMSTL-006_SMALL_GENERALIZATION/IMSTL-006-20260728-002/INDEPENDENT_QA.json,see manifest/config evidence if present,f10b4f2415427eb44b0f2e4cde8997a71f7e0f383a4034546d0bd45c5d2b40b6,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/IMSTL-006_SMALL_GENERALIZATION/IMSTL-006-20260728-002/INDEPENDENT_QA.json,not_merged_or_no_packet_found
IMSTL-007_F1_RESOLUTION_PIXEL_PHASE,imported_stl_slicer,Audited result root: IMSTL-007_F1_RESOLUTION_PIXEL_PHASE,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,IMSTL-007-20260728-001,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
L28_DESCRIPTOR_VALIDATION,imported_stl_slicer,Audited result root: L28_DESCRIPTOR_VALIDATION,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,L28-DESCVAL-PKG-20260727-002,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
L28_STL2STP_CONCLUSION,imported_stl_slicer,Audited result root: L28_STL2STP_CONCLUSION,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,L28-STL2STP-RESCONV-20260727-001,,completed_artifacts_present,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,experiments/lab_001_xy_connection_20260626/results/L28_STL2STP_CONCLUSION/L28-STL2STP-RESCONV-20260727-001/RUN_MANIFEST.json,see manifest/config evidence if present,cb8f86125df1904550002eae04db7ba67bd9b99e6d194f5bb2e44fa33437c229,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/L28_STL2STP_CONCLUSION/L28-STL2STP-RESCONV-20260727-001/RUN_MANIFEST.json,not_merged_or_no_packet_found
NB-INTEGRATE-001,hq_integration_release,Audited result root: NB-INTEGRATE-001,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,NB-INTEGRATE-001-20260729-001,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,claim_boundary_requires_report_review,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/NB-INTEGRATE-001/NB-INTEGRATE-001-20260729-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/NB-INTEGRATE-001/NB-INTEGRATE-001-20260729-001/MERGE_PACKET.md; experiments/lab_001_xy_connection_20260626/results/NB-INTEGRATE-001/NB-INTEGRATE-001-20260729-001/REPORT.md,see manifest/config evidence if present,61265cdab4f3f447df8211736fdb0896eaaf0e3c48d30561367238e84e2b191f,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/NB-INTEGRATE-001/NB-INTEGRATE-001-20260729-001/REPORT.md,merge_packet_present
PRESENTATION-HANDOFF-RUN361,research_support_or_archive,Audited result root: PRESENTATION-HANDOFF-RUN361,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,,,completed_artifacts_present,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/PRESENTATION-HANDOFF-RUN361/MERGE_PACKET.md,see manifest/config evidence if present,dd316a50552d0718fd9b42853ecfa7ff7db54266db41af7b1f35ec7c5ed5e1b8,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/PRESENTATION-HANDOFF-RUN361/MERGE_PACKET.md,merge_packet_present
ROUTE-VALID-001,route_validation_imported_stl,Audited result root: ROUTE-VALID-001,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,ROUTE-VALID-001-20260729-001,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,claim_boundary_requires_report_review,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-001/ROUTE-VALID-001-20260729-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-001/ROUTE-VALID-001-20260729-001/REPORT.md,see manifest/config evidence if present,40ad924c54137cc87a1e1e9bb71784e2536768553f63ff9385a15a874d0f5f9b,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-001/ROUTE-VALID-001-20260729-001/REPORT.md,not_merged_or_no_packet_found
ROUTE-VALID-002,route_validation_imported_stl,Audited result root: ROUTE-VALID-002,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,ROUTE-VALID-002-20260729-001,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,claim_boundary_requires_report_review,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-002/ROUTE-VALID-002-20260729-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-002/ROUTE-VALID-002-20260729-001/MERGE_PACKET.md; experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-002/ROUTE-VALID-002-20260729-001/REPORT.md,see manifest/config evidence if present,deb9ace078dd537ee8201d190404f8a464e5e3f997a3c3a4997e36b5e85b9448,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-002/ROUTE-VALID-002-20260729-001/REPORT.md,merge_packet_present
ROUTE-VALID-003,route_validation_imported_stl,Audited result root: ROUTE-VALID-003,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,ROUTE-VALID-003-20260729-002,,quarantined_or_superseded,not inferred beyond artifact evidence,independent_qa_present,claim_boundary_requires_report_review,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-003/ROUTE-VALID-003-20260729-002/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-003/ROUTE-VALID-003-20260729-002/MERGE_PACKET.md; experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-003/ROUTE-VALID-003-20260729-002/REPORT.md,see manifest/config evidence if present,ae2019407ee718a2bb53b0437b22216162ac3e1d90bb67b1654ee189e8bf3d30,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-003/ROUTE-VALID-003-20260729-002/REPORT.md,merge_packet_present
ROUTE-VALID-003A,route_validation_imported_stl,Audited result root: ROUTE-VALID-003A,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,ROUTE-VALID-003A-20260729-003,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
ROUTE-VALID-004,route_validation_imported_stl,Audited result root: ROUTE-VALID-004,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,ROUTE-VALID-004-20260729-001,,quarantined_or_superseded,not inferred beyond artifact evidence,independent_qa_present,claim_boundary_requires_report_review,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-004/ROUTE-VALID-004-20260729-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-004/ROUTE-VALID-004-20260729-001/MERGE_PACKET.md; experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-004/ROUTE-VALID-004-20260729-001/REPORT.md,see manifest/config evidence if present,cb72eeaea007558aa0a91872ea64e583fa30340b624048f11d47245523cdc063,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-004/ROUTE-VALID-004-20260729-001/REPORT.md,merge_packet_present
SG002_L28,research_support_or_archive,Audited result root: SG002_L28,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
SG003_L28,research_support_or_archive,Audited result root: SG003_L28,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
SG004_L28,research_support_or_archive,Audited result root: SG004_L28,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
SG005_L28,research_support_or_archive,Audited result root: SG005_L28,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
SG006_L28,research_support_or_archive,Audited result root: SG006_L28,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
SG007_L28,research_support_or_archive,Audited result root: SG007_L28,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,derived_noncanonical,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
SG008_L28,research_support_or_archive,Audited result root: SG008_L28,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
